[2020-11-02 11:27:33] [class-ss-plugin.php:232] Received request to start generating a static archive
[2020-11-02 11:27:33] [class-ss-archive-creation-job.php:61] Starting a job; no job is presently running
[2020-11-02 11:27:33] [class-ss-archive-creation-job.php:62] Here's our task list: setup, fetch_urls, create_zip_archive, wrapup
[2020-11-02 11:27:33] [class-ss-archive-creation-job.php:76] Pushing first task to queue: setup
[2020-11-02 11:27:34] [class-ss-archive-creation-job.php:105] Current task: setup
[2020-11-02 11:27:34] [class-ss-archive-creation-job.php:120] Performing task: setup
[2020-11-02 11:27:34] [class-ss-task.php:38] Status message: [setup] Setting up
[2020-11-02 11:27:34] [class-ss-setup-task.php:23] Creating archive directory: D:\webes szar\htdocs\gtfofficial\wp-content\plugins\simply-static/static-files/simply-static-1-1604316453\
[2020-11-02 11:27:34] [class-ss-setup-task.php:57] Adding origin URL to queue: http://localhost/gtfofficial/
[2020-11-02 11:27:34] [class-ss-setup-task.php:68] Adding additional URL to queue: http://localhost/gtfofficial/wp-includes/js/wp-emoji-release.min.js
[2020-11-02 11:27:34] [class-ss-setup-task.php:99] Adding files from directory: D:\webes szar\htdocs\gtfofficial/wp-content/uploads/
[2020-11-02 11:27:34] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\2020-landscape-1-1024x656.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\2020-landscape-1-1024x656.png
[2020-11-02 11:27:34] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\2020-landscape-1-150x150.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\2020-landscape-1-150x150.png
[2020-11-02 11:27:34] [class-ss-setup-task.php:104] Adding file D:\webes szar\htdocs\gtfofficial/wp-content/uploads\2020\10\2020-landscape-1-300x192.png to queue as: http://localhost/gtfofficial/wp-content/uploads\2020\10\2020-landscape-1-300x192.png
